job_id,search_term,title,company,location,location_area,latitude,longitude,category,salary_min,salary_max,contract_type,contract_time,created,extracted_at,posting_date,salary_mid,salary_available,salary_mid_clean,role_group,seniority,region,skill_sql,skill_python,skill_r,skill_power_bi,skill_tableau,skill_excel,skill_looker,skill_aws,skill_azure,skill_gcp,skill_snowflake,skill_databricks,skill_spark,skill_dbt,skill_power_query,skill_dax,skill_sas,skill_alteryx,skill_statistics,skill_machine_learning,skill_git,skills_count,age_days
5890531024,data analyst,Senior Data Analyst,Warrantywise Ltd,"Intack, Blackburn",UK > North West England > Lancashire > Blackburn > Intack,53.76244,-2.450482,IT Jobs,45000.0,60000.0,permanent,full_time,2026-09-19 11:53:14+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,52500.0,1,52500.0,Data Analyst,Senior,North West England,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0.5518285428935185
5890530947,data analyst,Senior Data Analyst - Blackburn,Warrantywise Ltd,"Intack, Blackburn",UK > North West England > Lancashire > Blackburn > Intack,53.76244,-2.450482,IT Jobs,45000.0,60000.0,permanent,full_time,2026-09-19 11:53:13+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,52500.0,1,52500.0,Data Analyst,Senior,North West England,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0.5518401169675926
5890530753,data analyst,Data Analyst Specialist,EF Recruitment,"Knightsbridge, South West London",UK > London > South West London > Knightsbridge,51.500121,-0.161665,IT Jobs,53288.47,53288.47,contract,,2026-09-19 11:53:12+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,53288.47,1,53288.47,Data Analyst,Mid / Unspecified,London,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0.5518516910416666
5890530696,data analyst,Data Analyst,TXP,"London, UK",UK > London,51.503378,-0.139134,IT Jobs,59955.28,59955.28,contract,,2026-09-19 11:53:11+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,59955.28,1,59955.28,Data Analyst,Mid / Unspecified,London,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5518632651157407
5890530339,data analyst,Senior Data Analyst,Ada Meher,"Holbeck, Leeds",UK > Yorkshire And The Humber > West Yorkshire > Leeds > Holbeck,53.798213,-1.549698,IT Jobs,55000.0,60000.0,,full_time,2026-09-19 11:53:08+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,57500.0,1,57500.0,Data Analyst,Senior,Yorkshire And The Humber,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6,0.5518979873379629
5890529009,data analyst,Data Analyst - Gateshead,Jackson Hogg Ltd,"New York Industrial Park, Newcastle Upon Tyne",UK > North East England > Tyne & Wear > Newcastle Upon Tyne > New York Industrial Park,55.015593,-1.503687,IT Jobs,35000.0,40000.0,,full_time,2026-09-19 11:52:59+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,37500.0,1,37500.0,Data Analyst,Mid / Unspecified,North East England,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.5520021540046296
5890528752,data analyst,Product Data Analyst,Fabric Recruitment Ltd,"Castle Donington, Derby",UK > East Midlands > Derbyshire > Derby > Castle Donington,52.844398,-1.33769,IT Jobs,35000.0,40000.0,permanent,full_time,2026-09-19 11:52:57+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,37500.0,1,37500.0,Data Analyst,Mid / Unspecified,East Midlands,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5520253021527778
5890528547,data analyst,Data Analyst - Customer Success,EF Recruitment,"Knightsbridge, South West London",UK > London > South West London > Knightsbridge,51.500121,-0.161665,IT Jobs,32500.0,33800.0,contract,full_time,2026-09-19 11:52:56+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,33150.0,1,33150.0,Data Analyst,Mid / Unspecified,London,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,7,0.5520368762268518
5890528163,data analyst,Data Analyst,CBSbutler Holdings Limited trading as CBSbutler,"Charing Cross, Central London",UK > London > Central London > Charing Cross,51.507189,-0.126998,IT Jobs,81535.29,81535.29,contract,,2026-09-19 11:52:53+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,81535.29,1,81535.29,Data Analyst,Mid / Unspecified,London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552071598449074
5890526677,data analyst,Data Analyst,Reed Technology,"Fleet Street, Central London",UK > London > Central London > Fleet Street,51.515456,-0.112059,IT Jobs,40068.08,40068.08,contract,,2026-09-19 11:52:45+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,40068.08,1,40068.08,Data Analyst,Mid / Unspecified,London,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5521641910416666
5890526290,data analyst,Data Analyst SAP SuccessFactors,Pertemps Thames Water,"Caversham, Reading",UK > South East England > Berkshire > Reading > Caversham,51.458934,-0.9734,IT Jobs,73788.53,73788.53,contract,,2026-09-19 11:52:43+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,73788.53,1,73788.53,Data Analyst,Mid / Unspecified,South East England,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5521873391898148
5890525372,data analyst,Data Analyst,Hays Technology,"Ormeau, Belfast",UK > Northern Ireland > Belfast > Ormeau,54.596636,-5.930085,IT Jobs,53239.45,53239.45,contract,,2026-09-19 11:52:37+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,53239.45,1,53239.45,Data Analyst,Mid / Unspecified,Northern Ireland,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5522567836342592
5890404740,data analyst,Finance Data Analyst,Halfords Careers,"Worcestershire, West Midlands",UK > West Midlands > Worcestershire,52.22285,-2.183016,IT Jobs,37376.63,37376.63,,full_time,2026-09-19 11:06:44+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,37376.63,1,37376.63,Data Analyst,Mid / Unspecified,West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5841202095601852
5890400824,data analyst,Senior People Data Analyst,Howden,"London, UK",UK > London,,,IT Jobs,54638.71,54638.71,permanent,full_time,2026-09-19 11:02:36+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,54638.71,1,54638.71,Data Analyst,Senior,London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5869905799305555
5890400226,data analyst,Data Analyst,EXL,"London, UK",UK > London,51.503378,-0.139134,IT Jobs,52708.24,52708.24,permanent,full_time,2026-09-19 11:01:49+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,52708.24,1,52708.24,Data Analyst,Mid / Unspecified,London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587534561412037
5890398010,data analyst,Data Scientist – Labour Productivity / Hospitality,Talent Locker,"Temple, Central London",UK > London > Central London > Temple,51.512421,-0.11511,IT Jobs,36400.0,37700.0,contract,full_time,2026-09-19 10:58:06+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,37050.0,1,37050.0,Data Scientist,Mid / Unspecified,London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5901155799305555
5890397112,data analyst,Senior Data Analyst - Insider Risk,Nationwide,"Shaw, Swindon",UK > South West England > Wiltshire > Swindon > Shaw,51.572273,-1.83676,IT Jobs,48281.34,48281.34,,part_time,2026-09-19 10:56:59+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,48281.34,1,48281.34,Data Analyst,Senior,South West England,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5908910428935185
5890395464,data analyst,Data Analyst,Graphcore,"Bristol, South West England",UK > South West England > Bristol,,,IT Jobs,48867.2,48867.2,,,2026-09-19 10:53:56+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,48867.2,1,48867.2,Data Analyst,Mid / Unspecified,South West England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593009098449074
5890392942,data analyst,Senior Data Analyst – Revenue Intelligence,Kpler,"London, UK",UK > London,51.503378,-0.139134,IT Jobs,58332.91,58332.91,,full_time,2026-09-19 10:49:56+00:00,2026-09-20 01:07:51.986106+00:00,2026-09-19,58332.91,1,58332.91,Data Analyst,Senior,London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5957868762268518
