role_group,skill,jobs_with_mention,share_pct
BI Analyst,sql,14,19.7
BI Analyst,python,0,0.0
BI Analyst,r,1,1.4
BI Analyst,power_bi,33,46.5
BI Analyst,tableau,3,4.2
BI Analyst,excel,4,5.6
BI Analyst,looker,1,1.4
BI Analyst,aws,0,0.0
BI Analyst,azure,0,0.0
BI Analyst,gcp,1,1.4
BI Analyst,snowflake,0,0.0
BI Analyst,databricks,0,0.0
BI Analyst,spark,0,0.0
BI Analyst,dbt,0,0.0
BI Analyst,power_query,0,0.0
BI Analyst,dax,0,0.0
BI Analyst,sas,0,0.0
BI Analyst,alteryx,0,0.0
BI Analyst,statistics,1,1.4
BI Analyst,machine_learning,0,0.0
BI Analyst,git,0,0.0
Data Analyst,sql,12,9.4
Data Analyst,python,7,5.5
Data Analyst,r,3,2.4
Data Analyst,power_bi,13,10.2
Data Analyst,tableau,3,2.4
Data Analyst,excel,7,5.5
Data Analyst,looker,1,0.8
Data Analyst,aws,1,0.8
Data Analyst,azure,1,0.8
Data Analyst,gcp,1,0.8
Data Analyst,snowflake,3,2.4
Data Analyst,databricks,1,0.8
Data Analyst,spark,1,0.8
Data Analyst,dbt,2,1.6
Data Analyst,power_query,2,1.6
Data Analyst,dax,2,1.6
Data Analyst,sas,0,0.0
Data Analyst,alteryx,0,0.0
Data Analyst,statistics,3,2.4
Data Analyst,machine_learning,1,0.8
Data Analyst,git,1,0.8
Data Scientist,sql,0,0.0
Data Scientist,python,1,4.3
Data Scientist,r,0,0.0
Data Scientist,power_bi,0,0.0
Data Scientist,tableau,0,0.0
Data Scientist,excel,0,0.0
Data Scientist,looker,0,0.0
Data Scientist,aws,1,4.3
Data Scientist,azure,1,4.3
Data Scientist,gcp,0,0.0
Data Scientist,snowflake,0,0.0
Data Scientist,databricks,0,0.0
Data Scientist,spark,0,0.0
Data Scientist,dbt,0,0.0
Data Scientist,power_query,0,0.0
Data Scientist,dax,0,0.0
Data Scientist,sas,0,0.0
Data Scientist,alteryx,0,0.0
Data Scientist,statistics,1,4.3
Data Scientist,machine_learning,5,21.7
Data Scientist,git,0,0.0
Reporting Analyst,sql,1,1.3
Reporting Analyst,python,0,0.0
Reporting Analyst,r,0,0.0
Reporting Analyst,power_bi,5,6.6
Reporting Analyst,tableau,0,0.0
Reporting Analyst,excel,0,0.0
Reporting Analyst,looker,0,0.0
Reporting Analyst,aws,0,0.0
Reporting Analyst,azure,0,0.0
Reporting Analyst,gcp,0,0.0
Reporting Analyst,snowflake,0,0.0
Reporting Analyst,databricks,0,0.0
Reporting Analyst,spark,0,0.0
Reporting Analyst,dbt,0,0.0
Reporting Analyst,power_query,0,0.0
Reporting Analyst,dax,0,0.0
Reporting Analyst,sas,0,0.0
Reporting Analyst,alteryx,0,0.0
Reporting Analyst,statistics,0,0.0
Reporting Analyst,machine_learning,0,0.0
Reporting Analyst,git,0,0.0
